property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
flat,sector 108,1.3,3,3,3+,relatively new,1654.0,0,0,unfurnished,luxury,medium-rise
flat,sector 102,1.24,2,2,2,relatively new,1105.0,0,0,unfurnished,luxury,medium-rise
flat,sector 67,0.8,1,1,0,relatively new,610.0,0,0,unfurnished,budget,low-rise
flat,sector 65,3.5,3,3,3,new,2282.0,1,0,semifurnished,luxury,high-rise
house,sector 26,4.5,3,3,2,relatively old,1350.01,1,0,unfurnished,semi-luxury,low-rise
flat,sector 83,0.87,2,2,2,relatively old,1132.0,0,0,unfurnished,budget,low-rise
flat,sector 99,0.31,2,2,2,new,583.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 83,1.25,3,3,2,relatively new,1800.0,1,0,unfurnished,semi-luxury,low-rise
flat,sector 70,0.53,2,2,2,under construction,995.0,0,0,unfurnished,budget,medium-rise
flat,sector 37,1.44,3,3,3+,relatively new,1782.0,1,0,unfurnished,budget,low-rise
flat,sector 99,1.15,2,2,2,new,1241.0,0,0,semifurnished,semi-luxury,low-rise
flat,sector 106,0.92,2,2,3+,relatively new,940.0,0,0,unfurnished,luxury,low-rise
flat,sector 47,0.25,1,1,1,relatively new,600.0,0,0,unfurnished,budget,high-rise
flat,sector 106,1.25,3,4,3+,relatively new,1186.0,1,0,unfurnished,luxury,medium-rise
flat,sector 50,1.05,2,2,2,relatively old,1098.0,0,0,unfurnished,budget,low-rise
flat,sector 104,2.49,3,3,3+,relatively new,2227.0,1,0,semifurnished,luxury,high-rise
flat,sector 104,2.0,3,4,3+,relatively new,2082.0,1,0,unfurnished,semi-luxury,medium-rise
flat,sector 90,1.95,4,4,3+,relatively new,2446.0,1,1,unfurnished,luxury,high-rise
flat,sector 102,1.98,3,3,3+,relatively new,2222.0,1,0,semifurnished,semi-luxury,medium-rise
flat,sector 90,1.65,4,4,3+,relatively new,2214.0,0,0,semifurnished,luxury,high-rise
flat,sector 106,1.25,3,4,3,relatively new,1305.0,1,0,unfurnished,luxury,high-rise
flat,sector 47,0.21,1,1,0,new,484.0,0,0,unfurnished,semi-luxury,low-rise
house,sector 109,5.9,4,5,2,relatively new,2430.0,1,0,semifurnished,semi-luxury,low-rise
flat,sector 2,0.35,2,2,2,relatively new,800.0,0,0,unfurnished,budget,medium-rise
flat,sector 49,4.16,5,4,3+,relatively new,3234.0,1,0,unfurnished,budget,high-rise
flat,sector 12,1.15,3,4,2,old,2000.0,1,0,semifurnished,budget,low-rise
flat,sector 54,11.0,4,5,3+,relatively new,3444.0,1,0,unfurnished,budget,medium-rise
flat,sector 1,0.75,3,4,3,relatively new,2717.0,1,0,unfurnished,budget,low-rise
flat,sector 88,1.5,3,3,2,relatively new,2056.0,0,0,unfurnished,budget,low-rise
flat,sector 95,0.43,2,2,2,relatively new,1300.0,0,0,unfurnished,semi-luxury,medium-rise
house,sector 25,10.75,9,9,3+,old,3600.0,1,1,unfurnished,semi-luxury,low-rise
flat,sector 92,1.7,3,4,2,under construction,1482.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 95,0.42,2,2,2,new,670.0,0,0,semifurnished,semi-luxury,high-rise
flat,sector 84,0.94,3,2,3+,new,1227.0,0,0,semifurnished,semi-luxury,medium-rise
flat,sector 89,0.95,2,2,2,new,1226.0,1,0,unfurnished,budget,medium-rise
flat,sector 59,5.0,4,4,3+,relatively new,4254.0,1,1,semifurnished,luxury,high-rise
flat,sector 65,3.0,3,3,3,under construction,1666.67,0,0,unfurnished,semi-luxury,high-rise
flat,sector 37,1.43,3,3,3+,relatively new,1837.0,1,0,unfurnished,budget,low-rise
flat,sector 112,2.5,2,2,3,relatively new,1800.05,0,0,semifurnished,luxury,medium-rise
flat,sector 85,2.1,3,4,3+,relatively new,2018.0,1,0,unfurnished,luxury,medium-rise
flat,sector 68,1.0,2,2,2,new,1311.0,0,0,unfurnished,budget,high-rise
flat,sector 85,1.17,2,3,3,relatively new,1550.0,0,0,unfurnished,budget,medium-rise
flat,sector 102,1.45,3,3,2,relatively new,1500.0,1,0,semifurnished,luxury,medium-rise
flat,sector 108,0.87,2,3,3,relatively new,734.42,1,0,semifurnished,semi-luxury,low-rise
house,sector 23,2.7,5,5,2,old,1450.05,0,0,semifurnished,budget,low-rise
flat,sector 47,1.7,3,3,3+,new,1690.0,0,0,semifurnished,budget,medium-rise
flat,sector 5,0.4,3,2,1,relatively new,1000.0,0,0,unfurnished,budget,low-rise
house,sector 109,1.87,3,4,0,relatively new,2150.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 113,2.85,3,3,3+,new,2015.0,1,0,unfurnished,semi-luxury,medium-rise
flat,sector 107,0.94,2,2,3+,relatively old,1242.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 85,1.18,2,2,3,relatively new,1700.0,0,0,semifurnished,luxury,medium-rise
house,sector 70,5.25,5,4,3+,new,2610.0,1,0,semifurnished,budget,low-rise
house,sector 5,0.75,2,2,0,old,130.0,0,0,unfurnished,budget,low-rise
flat,sector 85,1.4,2,2,3,relatively new,1400.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 86,1.6,3,3,1,relatively new,1754.0,0,0,unfurnished,semi-luxury,high-rise
house,sector 82,6.8,4,4,3+,relatively new,3240.0,1,0,furnished,semi-luxury,low-rise
flat,sector 106,1.05,3,4,3+,relatively new,1345.0,1,0,unfurnished,luxury,medium-rise
flat,sector 84,0.37,2,2,1,relatively new,530.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 79,1.45,2,2,3+,relatively new,1494.0,0,0,unfurnished,semi-luxury,medium-rise
house,sector 11,4.0,5,4,1,old,2025.01,0,0,unfurnished,budget,low-rise
flat,sector 102,0.95,2,2,2,relatively new,915.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 70,1.7,4,3,3,relatively new,2111.0,0,0,semifurnished,budget,low-rise
flat,sector 47,0.72,2,2,3+,relatively new,1127.0,0,0,unfurnished,luxury,high-rise
house,sector 70,6.5,4,4,3+,new,2332.17,1,0,semifurnished,luxury,low-rise
flat,sector 69,0.91,3,2,2,relatively old,1473.0,0,0,unfurnished,budget,high-rise
flat,sector 48,3.45,4,4,3+,relatively old,3000.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 81,0.95,2,2,2,relatively new,1108.0,0,0,semifurnished,semi-luxury,low-rise
