property_type,society,sector,price_in_cr,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,pooja room,store room,others,furnishing_type,luxury_score,area_bedroom_ratio
flat,raheja vedaanta,sector 108,1.25,5680.99,2200.32,Super Built up area 2200(204.39 sq.m.),3,2,0,0.0,,relatively new,2200.0,,,0,0,0,0,0,0,52.0,733.44
flat,raheja vedaanta,sector 108,0.95,5213.99,1822.02,Super Built up area 1822(169.27 sq.m.),3,3,3,3.0,,relatively new,1822.0,,,0,0,0,0,1,1,60.0,607.34
flat,ss the leaf,sector 85,1.05,6402.01,1640.11,Super Built up area 1640(152.36 sq.m.),2,2,3,6.0,north-east,relatively new,1640.0,,,0,0,0,0,1,1,24.0,820.055
house,independent,sector 5,0.55,5000.0,1100.0,Built Up area: 1100 (102.19 sq.m.),2,1,0,1.0,,undefined,,1100.0,,0,0,0,0,0,1,,550.0
flat,emaar gurgaon greens,sector 102,1.35,8180.98,1650.17,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,5.0,north-west,relatively new,1650.0,,1022.57,1,0,0,0,0,1,89.0,550.0566666666667
flat,m3m skycity,sector 65,3.0,16411.02,1828.04,Super Built up area 1828(169.83 sq.m.),3,3,3,17.0,east,under construction,1828.0,,,0,0,0,0,0,1,76.0,609.3466666666667
flat,adani brahma samsara vilasa,sector 63,3.4,10000.0,3400.0,Super Built up area 3400(315.87 sq.m.),3,3,3+,1.0,west,new,3400.0,,,0,0,0,0,0,1,79.0,1133.3333333333333
flat,dlf new town heights,sector 90,1.65,5682.99,2903.4,Super Built up area 2727(253.35 sq.m.),4,4,3+,7.0,south,relatively old,2727.0,,,0,0,0,0,0,1,91.0,725.85
flat,umang winter hills,sector 77,1.2,6585.99,1822.05,Built Up area: 1822 (169.27 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,3,14.0,east,undefined,,1822.0,1200.0,0,0,0,0,0,1,48.0,607.35
flat,ats tourmaline,sector 109,1.4,8000.0,1750.0,Super Built up area 1750(162.58 sq.m.)Built Up area: 1466 sq.ft. (136.2 sq.m.),3,3,3+,5.0,east,relatively new,1750.0,1466.0,,0,0,0,0,0,1,21.0,583.3333333333334
