property_type,society,sector,price_in_cr,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,pooja room,store room,others,furnishing_type,luxury_score,area_bedroom_ratio
flat,m3m heights,sector 65,3.29,17997.02,1828.08,Super Built up area 1828(169.83 sq.m.),3,3,3,33.0,east,new,1828.0,,,0,0,0,0,0,1,24.0,609.36
house,independent,sector 12,1.5,11111.03,1350.01,Plot area 150(125.42 sq.m.),5,5,2,3.0,,old,,1350.0,,0,0,0,0,0,1,12.0,270.002
flat,gls arawali homes,sector 47,0.26,4599.98,565.22,Super Built up area 576(53.51 sq.m.),2,2,2,5.0,,new,576.0,,,0,0,0,0,0,1,36.0,282.61
flat,ss the leaf,sector 85,1.2,7316.98,1640.02,Super Built up area 1640(152.36 sq.m.),2,2,3,12.0,south,relatively new,1640.0,,,0,0,0,0,0,0,128.0,820.01
flat,dlf the skycourt,sector 86,1.6,8293.98,1929.11,Super Built up area 1929(179.21 sq.m.)Built Up area: 1548 sq.ft. (143.81 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,3,3+,9.0,north-east,relatively new,1929.0,1548.0,1300.0,0,0,0,0,1,0,149.0,643.0366666666666
flat,central park flower valley aqua front towers,sector 47,2.1,11738.01,1789.06,Super Built up area 1789(166.2 sq.m.),3,3,2,6.0,,under construction,1789.0,,,0,0,0,0,0,1,30.0,596.3533333333334
house,independent,sector 47,0.49,4260.02,1150.23,Plot area 1150(106.84 sq.m.),2,2,1,3.0,,new,,1150.0,,0,0,0,0,0,1,,575.115
flat,shree vardhman mantra,sector 67,0.56,7000.0,800.0,Carpet area: 800 (74.32 sq.m.),2,2,1,8.0,,new,,,800.0,0,0,0,0,0,1,56.0,400.0
flat,m3m heights,sector 65,1.9,14999.96,1266.67,Super Built up area 1261(117.15 sq.m.),2,2,3,4.0,,under construction,1261.0,,,0,0,0,0,0,1,50.0,633.335
flat,bptp mansions park prime,sector 66,3.0,10853.01,2764.21,Super Built up area 2764(256.78 sq.m.)Built Up area: 2700 sq.ft. (250.84 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),4,4,3,3.0,north,relatively new,2764.0,2700.0,2500.0,1,1,1,0,1,0,151.0,691.0525
flat,tulip ivory,sector 70,5.0,10415.99,4800.31,Carpet area: 4800 (445.93 sq.m.),6,7,3+,0.0,,relatively new,,,4800.0,1,1,0,0,0,1,98.0,800.0516666666667
flat,shree vardhman victoria,sector 70,1.1,8461.02,1300.08,Super Built up area 1300(120.77 sq.m.)Carpet area: 788 sq.ft. (73.21 sq.m.),2,2,2,0.0,west,new,1300.0,,788.0,0,1,0,0,0,1,24.0,650.04
flat,signature global synera,sector 81,0.49,6666.03,735.07,Super Built up area 735(68.28 sq.m.)Built Up area: 700 sq.ft. (65.03 sq.m.)Carpet area: 635 sq.ft. (58.99 sq.m.),2,2,3,5.0,south,relatively new,735.0,700.0,635.0,0,0,0,0,0,1,92.0,367.535
flat,vatika boulevard residences and heights,sector 83,1.42,8000.0,1775.0,Carpet area: 1775 (164.9 sq.m.),3,3,2,2.0,west,relatively new,,,1775.0,0,0,0,0,0,0,85.0,591.6666666666666
house,independent,sector 3,0.4,8889.09,449.99,Plot area 50(41.81 sq.m.),1,1,0,1.0,,relatively old,,450.0,,0,0,0,0,0,1,,449.99
flat,antriksh heights,sector 84,0.73,6082.98,1200.07,Super Built up area 1200(111.48 sq.m.)Carpet area: 870 sq.ft. (80.83 sq.m.),2,2,3+,4.0,north-west,relatively new,1200.0,,870.0,0,1,1,1,0,1,137.0,600.035
flat,experion the heartsong,sector 108,1.2,6825.01,1758.24,Super Built up area 1758(163.32 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,2,3+,11.0,north-east,relatively new,1758.0,1550.0,1400.0,1,0,1,0,0,0,154.0,586.08
flat,godrej oasis,sector 88,1.19,10161.99,1171.03,Super Built up area 1628(151.25 sq.m.)Carpet area: 1171 sq.ft. (108.79 sq.m.),2,2,3,15.0,south-east,relatively new,1628.0,,1171.0,0,1,1,0,0,0,151.0,585.515
house,satya the hermitage,sector 103,4.35,13501.01,3221.98,Plot area 358(299.33 sq.m.),4,4,3+,2.0,North,relatively new,,3222.0,,1,1,1,1,0,0,110.0,805.495
house,independent,sector 50,10.55,32562.03,3239.97,Plot area 360(301.01 sq.m.),5,5,3,2.0,,relatively old,,3240.0,,1,1,0,0,0,1,31.0,647.9939999999999
flat,shapoorji pallonji joyville gurugram,sector 102,2.12,16960.0,1250.0,Built Up area: 1852 (172.06 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,3,3,9.0,,relatively new,,1852.0,1250.0,0,0,0,0,0,1,50.0,416.6666666666667
flat,ashiana anmol,sector 47,0.88,11125.02,791.01,Super Built up area 1275(118.45 sq.m.)Carpet area: 791 sq.ft. (73.49 sq.m.),2,2,2,13.0,east,relatively new,1275.0,,791.0,0,0,0,0,0,2,95.0,395.505
flat,shapoorji pallonji joyville gurugram,sector 102,2.15,12706.03,1692.11,Super Built up area 1692(157.19 sq.m.)Built Up area: 1690 sq.ft. (157.01 sq.m.)Carpet area: 1592 sq.ft. (147.9 sq.m.),3,3,3,10.0,south-west,relatively new,1692.0,1690.0,1592.0,0,0,0,0,0,0,24.0,564.0366666666666
flat,suncity avenue 76,sector 76,0.75,10203.94,735.01,Super Built up area 735(68.28 sq.m.),2,2,2,11.0,,under construction,735.0,,,0,0,0,0,0,1,55.0,367.505
flat,conscient heritage max,sector 102,1.78,9218.02,1931.0,Super Built up area 1931(179.4 sq.m.),3,4,3+,5.0,east,relatively old,1931.0,,,1,0,0,0,0,1,101.0,643.6666666666666
flat,vatika the seven lamps,sector 82,0.8,6192.0,1291.99,Super Built up area 1300(120.77 sq.m.),2,2,2,15.0,west,relatively new,1300.0,,,0,0,0,0,0,0,95.0,645.995
flat,sobha city,sector 108,2.9,14477.99,2003.04,Super Built up area 2003(186.08 sq.m.),3,4,2,8.0,east,new,2003.0,,,0,0,0,0,0,1,86.0,667.68
flat,paras irene,sector 70,1.2,8449.99,1420.12,Super Built up area 1420(131.92 sq.m.),2,2,3,6.0,north-east,relatively old,1420.0,,,0,0,0,0,0,1,21.0,710.06
flat,sidhartha ncr one,sector 95,0.55,5556.0,989.92,Built Up area: 990 (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,3,15.0,north-east,undefined,,990.0,950.0,0,0,0,0,0,1,,494.96
flat,piedmont taksila heights,sector 37,1.0,6506.01,1537.04,Carpet area: 1537 (142.79 sq.m.),3,3,3+,8.0,,relatively new,,,1537.0,0,0,0,0,0,0,24.0,512.3466666666667
flat,godrej summit,sector 104,0.75,5909.98,1269.04,Super Built up area 1269(117.89 sq.m.),2,2,3,6.0,east,relatively new,1269.0,,,0,0,0,0,1,1,58.0,634.52
flat,tulip orange,sector 70,1.1,8148.03,1350.02,Built Up area: 1350 (125.42 sq.m.)Carpet area: 1080 sq.ft. (100.34 sq.m.),3,2,2,5.0,east,undefined,,1350.0,1080.0,0,0,0,0,0,1,,450.00666666666666
flat,ireo victory valley,sector 67,2.99,11831.98,2527.05,Super Built up area 2527(234.77 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),3,3,3,4.0,east,relatively new,2527.0,2200.0,2100.0,1,0,0,0,0,0,18.0,842.35
flat,puri diplomatic greens,sector 111,3.45,11694.0,2950.23,Super Built up area 2950(274.06 sq.m.),4,5,3+,10.0,north,relatively new,2950.0,,,1,0,0,0,0,1,84.0,737.5575
house,shivaji nagar residential,sector 11,3.08,11406.98,2700.1,Built Up area: 2700 (250.84 sq.m.),6,4,2,1.0,,undefined,,2700.0,,0,0,0,0,0,1,,450.01666666666665
flat,bestech park view city,sector 48,1.76,9909.02,1776.16,Super Built up area 1776(165 sq.m.)Built Up area: 1576 sq.ft. (146.42 sq.m.)Carpet area: 1476 sq.ft. (137.12 sq.m.),3,3,3+,9.0,south,relatively old,1776.0,1576.0,1476.0,1,0,1,0,0,0,138.0,592.0533333333334
house,independent,sector 50,7.0,32406.96,2160.03,Built Up area: 240 (200.67 sq.m.),3,2,0,1.0,,undefined,,240.0,,0,0,0,0,0,1,,720.0100000000001
house,independent,sector 26,8.9,32962.96,2700.0,Plot area 300(250.84 sq.m.),4,4,3+,2.0,South-East,old,,2700.0,,1,1,1,1,0,1,65.0,675.0
flat,ramprastha the edge towers,sector 37,0.75,5319.0,1410.04,Built Up area: 1410 (130.99 sq.m.),2,2,3,19.0,,relatively old,,1410.0,,0,0,0,0,0,1,62.0,705.02
flat,signature global the millennia 3,sector 37,0.45,7626.99,590.01,Carpet area: 590 (54.81 sq.m.),2,3,2,8.0,,under construction,,,590.0,0,0,0,0,0,1,7.0,295.005
flat,dlf park place,sector 54,4.85,25865.98,1875.05,Super Built up area 1875(174.19 sq.m.),3,4,3+,25.0,south-east,relatively new,1875.0,,,1,0,0,0,0,0,16.0,625.0166666666667
flat,dlf new town heights,sector 90,2.0,7334.01,2727.02,Super Built up area 2727(253.35 sq.m.),4,4,3+,20.0,east,relatively old,2727.0,,,1,0,0,0,1,1,24.0,681.755
flat,experion windchants,sector 112,3.4,12134.02,2802.04,Super Built up area 2802(260.31 sq.m.)Built Up area: 2225.56 sq.ft. (206.76 sq.m.),3,3,2,14.0,north-east,relatively new,2802.0,2225.54,,0,0,0,0,0,0,139.0,934.0133333333333
flat,paras dews,sector 106,1.14,6000.0,1900.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1305 sq.ft. (121.24 sq.m.)Carpet area: 1173 sq.ft. (108.98 sq.m.),3,4,3,8.0,south,relatively new,1900.0,1305.0,1173.0,1,1,0,0,0,1,24.0,633.3333333333334
flat,bestech altura,sector 79,2.55,9532.0,2675.2,Built Up area: 2675 (248.52 sq.m.),4,5,2,4.0,east,new,,2675.0,,1,0,0,0,0,1,21.0,668.8
flat,unitech fresco,sector 50,1.88,10479.03,1794.06,Super Built up area 1794(166.67 sq.m.)Built Up area: 1790 sq.ft. (166.3 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3+,14.0,north,relatively old,1794.0,1790.0,1450.0,0,0,0,0,1,0,149.0,598.02
flat,adani m2k oyster grande,sector 102,4.55,10000.0,4550.0,Super Built up area 4650(432 sq.m.)Built Up area: 4630 sq.ft. (430.14 sq.m.)Carpet area: 4550 sq.ft. (422.71 sq.m.),4,4,3+,11.0,north-east,relatively new,4650.0,4630.0,4550.0,0,0,0,0,0,0,46.0,1137.5
flat,vatika the seven lamps,sector 82,1.37,8752.99,1565.18,Super Built up area 2160(200.67 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1565 sq.ft. (145.39 sq.m.),3,3,3,11.0,south,relatively new,2160.0,2000.0,1565.0,1,1,1,0,0,0,129.0,521.7266666666667
flat,godrej nature plus,sector 47,1.27,9182.01,1383.14,Super Built up area 1383(128.48 sq.m.),2,2,3+,9.0,west,under construction,1383.0,,,0,0,0,0,0,1,36.0,691.57
flat,emaar palm gardens,sector 83,1.6,8647.99,1850.14,Super Built up area 1850(171.87 sq.m.),3,3,3+,6.0,east,relatively new,1850.0,,,1,1,1,1,0,0,142.0,616.7133333333334
flat,ansal heights 86,sector 86,0.95,5621.0,1690.09,Carpet area: 1690 (157.01 sq.m.),3,2,1,6.0,,new,,,1690.0,0,0,0,0,0,1,10.0,563.3633333333333
house,independent,sector 2,19.5,27082.99,7200.09,Plot area 800(668.9 sq.m.),8,9,3+,2.0,North,new,,7200.0,,1,1,1,0,0,1,78.0,900.01125
flat,the rama apartment cghs,sector 43,2.5,10204.0,2450.02,Carpet area: 2450 (227.61 sq.m.),4,4,3+,4.0,east,relatively old,,,2450.0,1,0,0,0,0,1,16.0,612.505
flat,suncity avenue,sector 102,0.48,9022.05,532.03,Super Built up area 632(58.71 sq.m.)Carpet area: 532 sq.ft. (49.42 sq.m.),2,2,1,5.0,north-east,relatively new,632.0,,532.0,0,0,0,1,0,1,136.0,266.015
flat,sobha city,sector 108,3.25,15685.03,2072.04,Super Built up area 2072(192.5 sq.m.),3,3,3,12.0,north,relatively new,2072.0,,,0,0,0,0,0,1,87.0,690.68
flat,la vida by tata housing,sector 113,3.05,11337.99,2690.07,Super Built up area 2690(249.91 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2240 sq.ft. (208.1 sq.m.),3,4,3,15.0,north-east,new,2690.0,2600.0,2240.0,1,0,0,0,0,1,154.0,896.69
flat,m3m the marina,sector 68,2.22,14322.03,1550.06,Super Built up area 1550(144 sq.m.),3,2,3,4.0,east,relatively new,1550.0,,,0,0,0,0,0,1,21.0,516.6866666666666
flat,paras dews,sector 106,1.32,5605.0,2355.04,Super Built up area 2355(218.79 sq.m.)Built Up area: 1535 sq.ft. (142.61 sq.m.)Carpet area: 1403 sq.ft. (130.34 sq.m.),4,5,3+,11.0,south-west,relatively new,2355.0,1535.0,1403.0,1,0,0,0,0,1,24.0,588.76
flat,paras dews,sector 106,1.0,7220.01,1385.04,Super Built up area 1385(128.67 sq.m.)Built Up area: 940 sq.ft. (87.33 sq.m.)Carpet area: 845 sq.ft. (78.5 sq.m.),2,2,3+,2.0,north-east,new,1385.0,940.0,845.0,0,0,0,0,0,0,13.0,692.52
flat,experion the heartsong,sector 108,1.65,8236.99,2003.16,Super Built up area 2003(186.08 sq.m.)Built Up area: 1771.32 sq.ft. (164.56 sq.m.)Carpet area: 1302.01 sq.ft. (120.96 sq.m.),3,4,3,3.0,north-west,relatively old,2003.0,1302.0,1302.0,0,1,0,0,0,0,62.0,667.72
flat,godrej nature plus,sector 47,1.3,8349.01,1557.07,Super Built up area 1557(144.65 sq.m.),3,2,3+,18.0,north,new,1557.0,,,0,0,0,0,0,1,36.0,519.0233333333333
flat,green court,sector 90,0.4,6388.96,626.08,Super Built up area 626(58.16 sq.m.)Carpet area: 526 sq.ft. (48.87 sq.m.),2,2,1,8.0,south,new,626.0,,526.0,0,0,0,0,0,1,16.0,313.04
flat,pioneer park,sector 61,3.6,12627.02,2851.03,Super Built up area 2851(264.87 sq.m.),4,4,3,3.0,north,relatively old,2851.0,,,1,0,0,0,0,0,96.0,712.7575
flat,dlf the ultima,sector 81,2.5,11726.02,2132.01,Super Built up area 2132(198.07 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,2,20.0,west,relatively new,2132.0,1700.0,1350.0,1,0,0,0,0,2,154.0,710.6700000000001
flat,breez global heights,sector 47,0.4,6694.0,597.55,Super Built up area 950(88.26 sq.m.)Carpet area: 597.53 sq.ft. (55.51 sq.m.),2,2,2,7.0,,relatively new,950.0,,597.5,0,0,0,0,0,1,42.0,298.775
flat,hcbs sports ville,sector 47,0.22,4602.99,477.95,Built Up area: 477.85 (44.39 sq.m.)Carpet area: 321.6 sq.ft. (29.88 sq.m.),1,1,1,9.0,east,relatively new,,321.63,321.63,0,0,0,0,0,0,21.0,477.95
flat,godrej aria,sector 79,1.0,6653.01,1503.08,Super Built up area 1503(139.63 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,2,4.0,north-west,relatively new,1503.0,1300.0,1200.0,0,1,0,0,0,1,24.0,751.54
flat,signature global city 37d ph 2,sector 37,1.35,9375.0,1440.0,Carpet area: 1440 (133.78 sq.m.),3,3,3+,3.0,,under construction,,,1440.0,0,0,1,0,0,1,46.0,480.0
house,ireo victory valley,sector 67,8.0,22221.98,3600.04,Plot area 400(334.45 sq.m.),6,7,3+,3.0,North-East,relatively old,,3600.0,,1,1,1,1,0,0,124.0,600.0066666666667
flat,birla navya,sector 63,3.23,26875.01,1201.86,Super Built up area 2150(199.74 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,3,4.0,west,new,2150.0,,1200.0,1,0,0,0,0,1,40.0,400.61999999999995
flat,emaar mgf palm terraces,sector 66,4.5,10599.01,4245.68,Super Built up area 3670(340.95 sq.m.),5,5,3+,11.0,,new,3670.0,,,1,0,0,0,0,1,84.0,849.1360000000001
flat,ashiana anmol,sector 47,0.99,8215.02,1205.11,Super Built up area 1205(111.95 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,2,6.0,east,under construction,1205.0,,900.0,0,0,0,0,0,1,24.0,602.555
flat,eldeco accolade,sector 47,1.2,8043.0,1491.98,Built Up area: 1492 (138.61 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2,2,2,0.0,,undefined,,1492.0,849.0,0,0,0,0,0,1,56.0,745.99
flat,mapsko casa bella,sector 82,1.25,6377.0,1960.17,Super Built up area 1960(182.09 sq.m.),3,4,3+,8.0,,under construction,1960.0,,,0,0,0,0,0,1,59.0,653.39
flat,conscient elevate,sector 59,6.75,19882.0,3395.03,Super Built up area 3395(315.41 sq.m.)Carpet area: 1855 sq.ft. (172.34 sq.m.),4,4,2,10.0,,new,3395.0,,1855.0,1,0,0,0,0,1,33.0,848.7575
flat,imperia the esfera,sector 37,0.99,5454.0,1815.18,Super Built up area 1815(168.62 sq.m.)Carpet area: 1510 sq.ft. (140.28 sq.m.),3,4,3,9.0,north-east,relatively new,1815.0,,1510.0,1,0,0,0,0,1,24.0,605.0600000000001
house,independent,sector 5,1.5,5000.0,3000.0,Built Up area: 3000 (278.71 sq.m.),6,1,0,1.0,,new,,3000.0,,0,0,0,0,0,1,,500.0
flat,vipul belmonte,sector 53,6.0,24489.0,2450.08,Super Built up area 2450(227.61 sq.m.),3,4,3+,6.0,north-west,relatively old,2450.0,,,1,0,0,0,1,0,16.0,816.6933333333333
flat,emaar gurgaon greens,sector 102,1.35,8180.98,1650.17,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,5.0,north-west,relatively new,1650.0,,1022.57,1,0,0,0,0,1,89.0,550.0566666666667
house,independent,sector 2,2.55,16377.96,1556.97,Plot area 173(144.65 sq.m.),3,3,2,2.0,South,old,,1557.0,,0,0,0,0,0,1,4.0,518.99
flat,mapsko mount ville,sector 79,1.85,9640.99,1918.89,Super Built up area 1815(168.62 sq.m.),3,4,3,21.0,,new,1815.0,,,1,0,1,0,0,1,24.0,639.63
flat,global hill view,sector 11,0.36,5149.99,699.03,Built Up area: 699 (64.94 sq.m.),2,2,0,15.0,,undefined,,699.0,,0,0,0,0,0,1,,349.515
flat,ats triumph,sector 104,1.95,8514.99,2290.08,Carpet area: 2290 (212.75 sq.m.),3,3,3+,3.0,,new,,,2290.0,1,0,0,0,0,1,51.0,763.36
flat,antriksh heights,sector 84,0.9,6206.0,1450.21,Super Built up area 1725(160.26 sq.m.)Built Up area: 1525 sq.ft. (141.68 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3+,12.0,north-east,relatively new,1725.0,1525.0,1450.0,0,0,0,0,0,1,146.0,483.40333333333336
flat,umang winter hills,sector 77,1.4,6340.01,2208.2,Built Up area: 1735 (161.19 sq.m.),3,3,3,10.0,north-east,undefined,,1735.0,,0,0,0,0,0,1,15.0,736.0666666666666
flat,corona optus,sector 37,1.25,8928.0,1400.09,Super Built up area 1735(161.19 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,2.0,south-east,relatively new,1735.0,,1400.0,0,1,0,0,0,1,24.0,466.69666666666666
flat,m3m merlin,sector 67,2.65,12945.02,2047.12,Super Built up area 2047(190.17 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,3,3,0.0,north-east,relatively new,2047.0,1900.0,1700.0,0,0,0,0,1,0,151.0,682.3733333333333
flat,indiabulls enigma,sector 110,3.45,10147.0,3400.02,Super Built up area 3400(315.87 sq.m.),4,4,3,9.0,north,relatively old,3400.0,,,1,0,0,0,0,0,101.0,850.005
flat,signature global city 81,sector 81,0.89,8278.99,1075.01,Carpet area: 1075 (99.87 sq.m.),2,2,2,3.0,north,under construction,,,1075.0,0,0,0,0,1,1,13.0,537.505
flat,shri banke bihari society,sector 56,1.35,6750.0,2000.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,5.0,east,old,2000.0,1800.0,1600.0,0,0,0,0,1,0,50.0,666.6666666666666
flat,ireo victory valley,sector 67,2.87,11902.98,2411.16,Super Built up area 2411(223.99 sq.m.)Carpet area: 1808 sq.ft. (167.97 sq.m.),3,3,3+,16.0,north-west,relatively new,2411.0,,1808.0,1,0,0,0,0,0,154.0,803.7199999999999
flat,sanskriti apartments,sector 43,2.5,13513.0,1850.07,Super Built up area 1850(171.87 sq.m.),3,2,3,5.0,east,old,1850.0,,,0,1,0,0,0,1,,616.6899999999999
flat,capital residences 360,sector 70,1.18,8136.98,1450.17,Super Built up area 1450(134.71 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3,7.0,east,new,1450.0,1400.0,1000.0,0,0,1,0,0,1,114.0,725.085
flat,dlf new town heights,sector 91,1.75,7401.99,2364.23,Super Built up area 2364(219.62 sq.m.),4,4,3+,9.0,south,relatively new,2364.0,,,1,0,1,0,0,1,68.0,591.0575
flat,citizen apartment,sector 51,3.55,6826.0,5200.7,Built Up area: 5200 (483.1 sq.m.)Carpet area: 4700 sq.ft. (436.64 sq.m.),5,6,3+,11.0,north,relatively old,,5200.0,4700.0,1,1,1,1,0,0,125.0,1040.1399999999999
flat,dlf the ultima,sector 81,2.2,10461.0,2103.05,Super Built up area 2103(195.38 sq.m.)Built Up area: 1570 sq.ft. (145.86 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),3,3,3+,5.0,east,relatively new,2103.0,1570.0,1257.0,1,1,1,0,1,2,24.0,701.0166666666668
flat,m3m merlin,sector 67,3.5,14583.03,2400.05,Super Built up area 2400(222.97 sq.m.)Carpet area: 2050 sq.ft. (190.45 sq.m.),3,4,3,17.0,south-east,relatively new,2400.0,,2050.0,1,0,0,1,0,0,142.0,800.0166666666668
flat,experion windchants,sector 112,2.8,11470.0,2441.15,Super Built up area 2441(226.78 sq.m.)Built Up area: 1939.03 sq.ft. (180.14 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2,3,2,9.0,south-east,relatively new,2441.0,1800.05,1800.0,1,1,0,0,0,1,124.0,1220.575
flat,emaar mgf emerald estate,sector 65,1.73,12400.99,1395.05,Super Built up area 1395(129.6 sq.m.),3,3,3,9.0,north-west,relatively new,1395.0,,,1,0,0,0,0,2,139.0,465.01666666666665
flat,m3m golfestate,sector 65,4.95,15906.02,3112.03,Super Built up area 3112(289.11 sq.m.),3,3,3,10.0,north,relatively new,3112.0,,,1,0,0,0,0,0,76.0,1037.3433333333335
flat,eldeco accolade,sector 47,0.72,4907.01,1467.29,Super Built up area 1457(135.36 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2,2,3+,10.0,north-east,relatively new,1457.0,,849.0,0,1,0,0,0,1,24.0,733.645
flat,"ganpati apartment  2, laxman vihar phase 1",sector 3,0.45,4705.0,956.43,Carpet area: 850 (78.97 sq.m.),2,2,1,0.0,east,relatively new,,,850.0,0,0,0,0,0,1,38.0,478.215
flat,supertech araville,sector 79,0.72,6061.01,1187.92,Super Built up area 1295(120.31 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),2,2,3+,17.0,north,new,1295.0,,1250.0,0,0,0,0,1,1,39.0,593.96
flat,ss almeria,sector 84,1.48,7400.0,2000.0,Super Built up area 2000(185.81 sq.m.)Carpet area: 1294 sq.ft. (120.22 sq.m.),3,3,2,1.0,south-west,new,2000.0,,1294.0,1,0,0,1,0,0,121.0,666.6666666666666
flat,ss radiance residency,sector 12,0.6,5660.0,1060.07,Carpet area: 1060 (98.48 sq.m.),3,3,2,3.0,north-east,relatively new,,,1060.0,0,0,0,0,0,1,21.0,353.3566666666666
house,independent,sector 46,5.5,23060.99,2384.98,Plot area 265(221.57 sq.m.),8,8,3+,3.0,,relatively old,,2385.0,,0,1,0,0,1,0,17.0,298.1225
house,unitech espace,sector 50,10.45,32252.99,3240.01,Plot area 360(301.01 sq.m.),5,7,3+,3.0,,relatively old,,3240.0,,1,1,1,0,1,0,131.0,648.0020000000001
house,bhim garh kheri,sector 3,1.5,7575.99,1979.94,Plot area 220(183.95 sq.m.),7,2,0,1.0,,undefined,,1980.0,,0,0,0,0,0,1,,282.84857142857146
flat,bestech park view ananda,sector 81,1.35,7541.01,1790.21,Super Built up area 1790(166.3 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,3,3+,10.0,north-east,relatively old,1790.0,,1130.0,0,0,0,1,0,0,68.0,596.7366666666667
flat,shapoorji pallonji joyville gurugram,sector 102,2.12,16960.0,1250.0,Built Up area: 1852 (172.06 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,3,3,9.0,,relatively new,,1852.0,1250.0,0,0,0,0,0,1,50.0,416.6666666666667
flat,assotech blith,sector 99,1.9,6702.01,2834.97,Built Up area: 2835 (263.38 sq.m.),4,4,3+,2.0,north-east,undefined,,2835.0,,0,0,0,0,0,1,59.0,708.7425
flat,shree vardhman flora,sector 90,0.64,6789.01,942.7,Super Built up area 1350(125.42 sq.m.)Built Up area: 1050 sq.ft. (97.55 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,3,9.0,south-east,relatively new,1350.0,1050.0,950.0,0,1,0,0,0,1,38.0,471.35
flat,experion the heartsong,sector 108,0.9,7013.99,1283.15,Super Built up area 1283(119.19 sq.m.),2,3,3,7.0,east,relatively new,1283.0,,,1,0,0,0,1,1,48.0,641.575
flat,ambience creacions,sector 22,2.55,13709.01,1860.09,Super Built up area 1860(172.8 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,8.0,north-east,relatively new,1860.0,1600.0,1400.0,0,0,0,0,1,2,108.0,620.03
flat,sahara grace,sector 28,5.5,14612.0,3764.03,Super Built up area 3764(349.69 sq.m.),4,5,3+,5.0,east,relatively old,3764.0,,,1,0,0,0,1,0,7.0,941.0075
flat,signature global park,sector 47,0.75,6938.02,1081.0,Built Up area: 1081 (100.43 sq.m.),2,2,0,1.0,,undefined,,1081.0,,0,0,0,0,0,1,55.0,540.5
flat,supertech araville,sector 79,0.8,5266.0,1519.18,Carpet area: 1519 (141.12 sq.m.),2,2,2,12.0,,new,,,1519.0,0,1,0,0,0,1,24.0,759.59
flat,imperia the esfera,sector 37,0.85,5385.99,1578.17,Super Built up area 1578(146.6 sq.m.)Carpet area: 1310 sq.ft. (121.7 sq.m.),2,3,3,9.0,south-east,relatively new,1578.0,,1310.0,0,1,0,0,0,1,24.0,789.085
house,unitech deerwood chase,sector 50,8.45,26152.89,3231.0,Plot area 359(33.35 sq.m.),3,3,2,2.0,North-East,old,,359.0,,1,1,0,0,0,0,82.0,1077.0
flat,conscient habitat,sector 99,0.35,6422.02,545.0,Carpet area: 545 (50.63 sq.m.),2,2,1,3.0,north-east,relatively new,,,545.0,0,0,0,0,0,1,33.0,272.5
flat,central park flower valley,sector 47,1.79,11251.0,1590.97,Super Built up area 1789(166.2 sq.m.),3,3,3,3.0,south,old,1789.0,,,0,0,0,0,0,1,68.0,530.3233333333334
